label	x	y	z
C3	-0.7005	0.0000	0.7136
C4	0.7005	0.0000	0.7136
Cz	0.0000	0.0000	1.0000
F3	-0.5405	0.6730	0.5049
F4	0.5405	0.6730	0.5049
F7	-0.8090	0.5878	0.0000
F8	0.8090	0.5878	0.0000
Fp1	-0.3090	0.9511	0.0000
Fp2	0.3090	0.9511	0.0000
Fpz	0.0000	1.0000	0.0000
Fz	0.0000	0.7071	0.7071
LPA	-0.9325	-0.0000	-0.3612
NAS	-0.0000	0.9325	-0.3612
O1	-0.3090	-0.9511	0.0000
O2	0.3090	-0.9511	0.0000
Oz	0.0000	-1.0000	0.0000
P3	-0.5405	-0.6730	0.5049
P4	0.5405	-0.6730	0.5049
P7	-0.8090	-0.5878	0.0000
P8	0.8090	-0.5878	0.0000
Pz	0.0000	-0.7071	0.7071
RPA	0.9325	0.0000	-0.3612
T7	-1.0000	0.0000	0.0000
T8	1.0000	0.0000	0.0000
