label	x	y
AF7	-0.5878	0.8090
AF8	0.5878	0.8090
AFz	0.0000	0.6682
C1	-0.1965	0.0000
C2	0.1965	0.0000
C3	-0.4088	0.0000
C4	0.4088	0.0000
C5	-0.6582	0.0000
C6	0.6582	0.0000
CP1	-0.1933	-0.2034
CP2	0.1933	-0.2034
CP3	-0.4013	-0.2183
CP4	0.4013	-0.2183
CP5	-0.6433	-0.2489
CP6	0.6433	-0.2489
CPz	0.0000	-0.1989
Cz	0.0000	0.0000
F1	-0.1747	0.4220
F10	1.1810	0.8580
F2	0.1747	0.4220
F3	-0.3592	0.4472
F4	0.3592	0.4472
F5	-0.5653	0.4970
F6	0.5653	0.4970
F7	-0.8090	0.5878
F8	0.8090	0.5878
F9	-1.1810	0.8580
FC1	-0.1933	0.2034
FC2	0.1933	0.2034
FC3	-0.4013	0.2183
FC4	0.4013	0.2183
FC5	-0.6433	0.2489
FC6	0.6433	0.2489
FCz	0.0000	0.1989
FT10	1.3884	0.4512
FT7	-0.9511	0.3090
FT8	0.9511	0.3090
FT9	-1.3884	0.4512
Fp1	-0.3090	0.9511
Fp2	0.3090	0.9511
Fpz	0.0000	1.0000
Fz	0.0000	0.4142
I1	-0.4512	-1.3884
I2	0.4512	-1.3884
Iz	0.0000	-1.4598
LPA	-1.4598	-0.0000
NAS	-0.0000	1.4598
Nz	-0.0000	1.4598
O1	-0.3090	-0.9511
O2	0.3090	-0.9511
Oz	0.0000	-1.0000
P1	-0.1747	-0.4220
P10	1.1810	-0.8580
P2	0.1747	-0.4220
P3	-0.3592	-0.4472
P4	0.3592	-0.4472
P5	-0.5653	-0.4970
P6	0.5653	-0.4970
P7	-0.8090	-0.5878
P8	0.8090	-0.5878
P9	-1.1810	-0.8580
PO10	0.8580	-1.1810
PO7	-0.5878	-0.8090
PO8	0.5878	-0.8090
PO9	-0.8580	-1.1810
POz	0.0000	-0.6682
Pz	0.0000	-0.4142
RPA	1.4598	0.0000
T10	1.4598	0.0000
T7	-1.0000	0.0000
T8	1.0000	0.0000
T9	-1.4598	-0.0000
TP7	-0.9511	-0.3090
TP8	0.9511	-0.3090
