label	x	y	z
AF7	-0.5878	0.8090	0.0000
AF8	0.5878	0.8090	0.0000
AFz	0.0000	0.9239	0.3827
C1	-0.3784	0.0000	0.9257
C2	0.3784	0.0000	0.9257
C3	-0.7005	0.0000	0.7136
C4	0.7005	0.0000	0.7136
C5	-0.9185	0.0000	0.3955
C6	0.9185	0.0000	0.3955
CP1	-0.3584	-0.3771	0.8540
CP2	0.3584	-0.3771	0.8540
CP3	-0.6640	-0.3612	0.6547
CP4	0.6640	-0.3612	0.6547
CP5	-0.8718	-0.3373	0.3553
CP6	0.8718	-0.3373	0.3553
CPz	0.0000	-0.3827	0.9239
Cz	0.0000	0.0000	1.0000
F1	-0.2891	0.6983	0.6549
F10	0.7544	0.5481	-0.3612
F2	0.2891	0.6983	0.6549
F3	-0.5405	0.6730	0.5049
F4	0.5405	0.6730	0.5049
F5	-0.7217	0.6345	0.2767
F6	0.7217	0.6345	0.2767
F7	-0.8090	0.5878	0.0000
F8	0.8090	0.5878	0.0000
F9	-0.7544	0.5481	-0.3612
FC1	-0.3584	0.3771	0.8540
FC2	0.3584	0.3771	0.8540
FC3	-0.6640	0.3612	0.6547
FC4	0.6640	0.3612	0.6547
FC5	-0.8718	0.3373	0.3553
FC6	0.8718	0.3373	0.3553
FCz	0.0000	0.3827	0.9239
FT10	0.8869	0.2882	-0.3612
FT7	-0.9511	0.3090	0.0000
FT8	0.9511	0.3090	0.0000
FT9	-0.8869	0.2882	-0.3612
Fp1	-0.3090	0.9511	0.0000
Fp2	0.3090	0.9511	0.0000
Fpz	0.0000	1.0000	0.0000
Fz	0.0000	0.7071	0.7071
I1	-0.2882	-0.8869	-0.3612
I2	0.2882	-0.8869	-0.3612
Iz	0.0000	-0.9325	-0.3612
LPA	-0.9325	-0.0000	-0.3612
NAS	-0.0000	0.9325	-0.3612
Nz	-0.0000	0.9325	-0.3612
O1	-0.3090	-0.9511	0.0000
O2	0.3090	-0.9511	0.0000
Oz	0.0000	-1.0000	0.0000
P1	-0.2891	-0.6983	0.6549
P10	0.7544	-0.5481	-0.3612
P2	0.2891	-0.6983	0.6549
P3	-0.5405	-0.6730	0.5049
P4	0.5405	-0.6730	0.5049
P5	-0.7217	-0.6345	0.2767
P6	0.7217	-0.6345	0.2767
P7	-0.8090	-0.5878	0.0000
P8	0.8090	-0.5878	0.0000
P9	-0.7544	-0.5481	-0.3612
PO10	0.5481	-0.7544	-0.3612
PO7	-0.5878	-0.8090	0.0000
PO8	0.5878	-0.8090	0.0000
PO9	-0.5481	-0.7544	-0.3612
POz	0.0000	-0.9239	0.3827
Pz	0.0000	-0.7071	0.7071
RPA	0.9325	0.0000	-0.3612
T10	0.9325	0.0000	-0.3612
T7	-1.0000	0.0000	0.0000
T8	1.0000	0.0000	0.0000
T9	-0.9325	-0.0000	-0.3612
TP7	-0.9511	-0.3090	0.0000
TP8	0.9511	-0.3090	0.0000
