label	x	y
AF7	0.5878533231474408	0.7695
AF8	0.5878533231474408	0.7695
AFz	0.5095100138556493	0.8090
C1	0.0	0.0000
C2	0.0	0.0000
C3	0.0	0.0000
C4	0.0	0.0000
C5	0.0	0.0000
C6	0.0	0.0000
CP1	-0.16155945009969566	-0.3079
CP2	-0.16155945009969566	-0.3079
CP3	-0.17179573892458574	-0.3048
CP4	-0.17179573892458574	-0.3048
CP5	-0.19122896481387047	-0.3000
CP6	-0.19122896481387047	-0.3000
CPz	-0.1583722002972682	-0.3090
Cz	0.0	0.0000
F1	0.3301583723158429	0.5858
F10	0.5878	0.5878
F2	0.3301583723158429	0.5858
F3	0.346682606096832	0.5800
F4	0.346682606096832	0.5800
F5	0.3771390815989428	0.5708
F6	0.3771390815989428	0.5708
F7	0.42704354469060357	0.5590
F8	0.42704354469060357	0.5590
F9	0.5878	0.5878
FC1	0.16155945009969566	0.3079
FC2	0.16155945009969566	0.3079
FC3	0.17179573892458574	0.3048
FC4	0.17179573892458574	0.3048
FC5	0.19122896481387047	0.3000
FC6	0.19122896481387047	0.3000
FCz	0.1583722002972682	0.3090
FT10	0.309	0.3090
FT7	0.2245225362872422	0.2939
FT8	0.2245225362872422	0.2939
FT9	0.309	0.3090
Fp1	0.6909854851031322	0.9045
Fp2	0.6909854851031322	0.9045
Fpz	0.726585179526356	0.9511
Fz	0.324930901050304	0.5878
I1	-0.9511	-0.9511
I2	-0.9511	-0.9511
Iz	-1.0	-1.0000
Nz	1.0	1.0000
O1	-0.6909854851031322	-0.9045
O2	-0.6909854851031322	-0.9045
Oz	-0.726585179526356	-0.9511
P1	-0.3301583723158429	-0.5858
P10	-0.5878	-0.5878
P2	-0.3301583723158429	-0.5858
P3	-0.346682606096832	-0.5800
P4	-0.346682606096832	-0.5800
P5	-0.3771390815989428	-0.5708
P6	-0.3771390815989428	-0.5708
P7	-0.42704354469060357	-0.5590
P8	-0.42704354469060357	-0.5590
P9	-0.5878	-0.5878
PO10	-0.809	-0.8090
PO7	-0.5878533231474408	-0.7695
PO8	-0.5878533231474408	-0.7695
PO9	-0.809	-0.8090
POz	-0.5095100138556493	-0.8090
Pz	-0.324930901050304	-0.5878
T10	0.0	0.0000
T7	0.0	0.0000
T8	0.0	0.0000
T9	0.0	0.0000
TP7	-0.2245225362872422	-0.2939
TP8	-0.2245225362872422	-0.2939
