label	x	y
AF1	0.5138924292633189	0.8064
AF10	0.809	0.8090
AF10h	0.6910238671739882	0.7991
AF1h	0.5105482566953006	0.8083
AF2	0.5138924292633189	0.8064
AF2h	0.5105482566953006	0.8083
AF3	0.5274072117289658	0.7986
AF3h	0.5194360002587155	0.8031
AF4	0.5274072117289658	0.7986
AF4h	0.5194360002587155	0.8031
AF5	0.5513009327442318	0.7861
AF5h	0.5379240162822253	0.7929
AF6	0.5513009327442318	0.7861
AF6h	0.5379240162822253	0.7929
AF7	0.5878533231474408	0.7695
AF7h	0.5677805340726688	0.7782
AF8	0.5878533231474408	0.7695
AF8h	0.5677805340726688	0.7782
AF9	0.809	0.8090
AF9h	0.6910238671739882	0.7991
AFF1	0.4194892553128163	0.7047
AFF10	0.7071	0.7071
AFF10h	0.6039432722241439	0.6984
AFF1h	0.4155149091336823	0.7065
AFF2	0.4194892553128163	0.7047
AFF2h	0.4155149091336823	0.7065
AFF3	0.4360977438910068	0.6978
AFF3h	0.42628925469234036	0.7018
AFF4	0.4360977438910068	0.6978
AFF4h	0.42628925469234036	0.7018
AFF5	0.4661327541740193	0.6868
AFF5h	0.449257505998314	0.6928
AFF6	0.4661327541740193	0.6868
AFF6h	0.449257505998314	0.6928
AFF7	0.5137509549274255	0.6725
AFF7h	0.4873503905970043	0.6800
AFF8	0.5137509549274255	0.6725
AFF8h	0.4873503905970043	0.6800
AFF9	0.7071	0.7071
AFF9h	0.6039432722241439	0.6984
AFFz	0.41421123542850447	0.7071
AFp1	0.6148414786099959	0.8882
AFp10	0.891	0.8910
AFp10h	0.760982359045313	0.8800
AFp1h	0.6132809809189226	0.8903
AFp2	0.6148414786099959	0.8882
AFp2h	0.6132809809189226	0.8903
AFp3	0.621020681866309	0.8798
AFp3h	0.6174192197641147	0.8847
AFp4	0.621020681866309	0.8798
AFp4h	0.6174192197641147	0.8847
AFp5	0.6316825906206696	0.8661
AFp5h	0.6257879656160459	0.8736
AFp6	0.6316825906206696	0.8661
AFp6h	0.6257879656160459	0.8736
AFp7	0.6473644003055768	0.8474
AFp7h	0.638822652757079	0.8573
AFp8	0.6473644003055768	0.8474
AFp8h	0.638822652757079	0.8573
AFp9	0.891	0.8910
AFp9h	0.760982359045313	0.8800
AFpz	0.6127922971114168	0.8910
AFz	0.5095100138556493	0.8090
C1	0.0	0.0000
C1h	0.0	0.0000
C2	0.0	0.0000
C2h	0.0	0.0000
C3	0.0	0.0000
C3h	0.0	0.0000
C4	0.0	0.0000
C4h	0.0	0.0000
C5	0.0	0.0000
C5h	0.0	0.0000
C6	0.0	0.0000
C6h	0.0	0.0000
CCP1	-0.0803732535959169	-0.1559
CCP1h	-0.07911120109328339	-0.1563
CCP2	-0.0803732535959169	-0.1559
CCP2h	-0.07911120109328339	-0.1563
CCP3	-0.08570793756596122	-0.1543
CCP3h	-0.08251807741386644	-0.1552
CCP4	-0.08570793756596122	-0.1543
CCP4h	-0.08251807741386644	-0.1552
CCP5	-0.09595704358812382	-0.1519
CCP5h	-0.0901070462298553	-0.1532
CCP6	-0.09595704358812382	-0.1519
CCP6h	-0.0901070462298553	-0.1532
CCPz	-0.07868390602203552	-0.1564
CP1	-0.16155945009969566	-0.3079
CP1h	-0.15914832190544928	-0.3087
CP2	-0.16155945009969566	-0.3079
CP2h	-0.15914832190544928	-0.3087
CP3	-0.17179573892458574	-0.3048
CP3h	-0.1657118149389255	-0.3066
CP4	-0.17179573892458574	-0.3048
CP4h	-0.1657118149389255	-0.3066
CP5	-0.19122896481387047	-0.3000
CP5h	-0.18015121747931176	-0.3026
CP6	-0.19122896481387047	-0.3000
CP6h	-0.18015121747931176	-0.3026
CPP1	-0.24451410658307213	-0.4524
CPP1h	-0.24117396852403233	-0.4536
CPP2	-0.24451410658307213	-0.4524
CPP2h	-0.24117396852403233	-0.4536
CPP3	-0.2586774473000289	-0.4479
CPP3h	-0.2502638742292095	-0.4505
CPP4	-0.2586774473000289	-0.4479
CPP4h	-0.2502638742292095	-0.4505
CPP5	-0.28521514073115495	-0.4408
CPP5h	-0.2701701093560146	-0.4447
CPP6	-0.28521514073115495	-0.4408
CPP6h	-0.2701701093560146	-0.4447
CPPz	-0.24008461131676362	-0.4540
CPz	-0.1583722002972682	-0.3090
Cz	0.0	0.0000
F1	0.3301583723158429	0.5858
F10	0.5878	0.5878
F10h	0.5020754064337599	0.5806
F1h	0.3262234072099095	0.5873
F2	0.3301583723158429	0.5858
F2h	0.3262234072099095	0.5873
F3	0.346682606096832	0.5800
F3h	0.33685608685608687	0.5833
F4	0.346682606096832	0.5800
F4h	0.33685608685608687	0.5833
F5	0.3771390815989428	0.5708
F5h	0.3599199899987498	0.5758
F6	0.3771390815989428	0.5708
F6h	0.3599199899987498	0.5758
F7	0.42704354469060357	0.5590
F7h	0.3991807331026203	0.5652
F8	0.42704354469060357	0.5590
F8h	0.3991807331026203	0.5652
F9	0.5878	0.5878
F9h	0.5020754064337599	0.5806
FC1	0.16155945009969566	0.3079
FC1h	0.15914832190544928	0.3087
