label	x	y
AF7	-0.4270	0.5879
AF8	0.4270	0.5879
AFz	0.0000	0.5095
C1	-0.1584	0.0000
C2	0.1584	0.0000
C3	-0.3249	0.0000
C4	0.3249	0.0000
C5	-0.5095	0.0000
C6	0.5095	0.0000
CP1	-0.1527	-0.1616
CP2	0.1527	-0.1616
CP3	-0.3126	-0.1718
CP4	0.3126	-0.1718
CP5	-0.4881	-0.1912
CP6	0.4881	-0.1912
CPz	0.0000	-0.1584
Cz	0.0000	0.0000
F1	-0.1349	0.3302
F10	0.8090	0.5878
F2	0.1349	0.3302
F3	-0.2744	0.3467
F4	0.2744	0.3467
F5	-0.4234	0.3771
F6	0.4234	0.3771
F7	-0.5879	0.4270
F8	0.5879	0.4270
F9	-0.8090	0.5878
FC1	-0.1527	0.1616
FC2	0.1527	0.1616
FC3	-0.3126	0.1718
FC4	0.3126	0.1718
FC5	-0.4881	0.1912
FC6	0.4881	0.1912
FCz	0.0000	0.1584
FT10	0.9511	0.3090
FT7	-0.6910	0.2245
FT8	0.6910	0.2245
FT9	-0.9511	0.3090
Fp1	-0.2245	0.6910
Fp2	0.2245	0.6910
Fpz	0.0000	0.7266
Fz	0.0000	0.3249
I1	-0.3090	-0.9511
I2	0.3090	-0.9511
Iz	0.0000	-1.0000
LPA	-1.0000	0.0000
NAS	0.0000	1.0000
Nz	0.0000	1.0000
O1	-0.2245	-0.6910
O2	0.2245	-0.6910
Oz	0.0000	-0.7266
P1	-0.1349	-0.3302
P10	0.8090	-0.5878
P2	0.1349	-0.3302
P3	-0.2744	-0.3467
P4	0.2744	-0.3467
P5	-0.4234	-0.3771
P6	0.4234	-0.3771
P7	-0.5879	-0.4270
P8	0.5879	-0.4270
P9	-0.8090	-0.5878
PO10	0.5878	-0.8090
PO7	-0.4270	-0.5879
PO8	0.4270	-0.5879
PO9	-0.5878	-0.8090
POz	0.0000	-0.5095
Pz	0.0000	-0.3249
RPA	1.0000	0.0000
T10	1.0000	0.0000
T7	-0.7266	0.0000
T8	0.7266	0.0000
T9	-1.0000	0.0000
TP7	-0.6910	-0.2245
TP8	0.6910	-0.2245
